"sample","locus","tip","copy","exact_tip_marginal_pp"
"C_fra_5846_CO","PGI","C_fra_5846_CO_C","5846_c3",1
"C_fra_5846_CO","PGI","C_fra_5846_CO_B","5846_c2",1
"C_fra_6980_Can","PGI","C_fra_6980_Can_A","6980_c1",1
"C_fra_6980_Can","PGI","C_fra_6980_Can_B","6980_c2",1
"C_fra_7011_Icld","PGI","C_fra_7011_Icld_A","7011_c1",1
"C_fra_7011_Icld","PGI","C_fra_7011_Icld_B","7011_c2",1
"C_fra_7112_Mex","PGI","C_fra_7112_Mex_A","7112_c1",1
"C_fra_7625_Tai","PGI","C_fra_7625_Tai_A","7625_c1",1
"C_fra_7625_Tai","PGI","C_fra_7625_Tai_B","7625_c2",1
"C_fra_7625_Tai","PGI","C_fra_7625_Tai_C","7625_c3",1
"C_ree_7032_NM","PGI","C_ree_7032_NM_A","7032_c1",1
"C_ree_7032_NM","PGI","C_ree_7032_NM_B","7032_c2",1
"C_sud_10801_Rus","PGI","C_sud_10801_Rus_A","10801_c1",1
"C_sud_10801_Rus","PGI","C_sud_10801_Rus_B","10801_c2",1
"C_tas_6379_Nzl","PGI","C_tas_6379_Nzl_B","6379_c1",1
"C_tas_6379_Nzl","PGI","C_tas_6379_Nzl_A1","6379_c2",0.536286227638466
"C_ten_16972_MN","PGI","C_ten_16972_MN_A","16972_c1",1
"C_ten_16972_MN","PGI","C_ten_16972_MN_B","16972_c2",1
"C_tenn_11539_KS","PGI","C_tenn_11539_KS_A","11539_c1",1
"C_tenn_11539_KS","PGI","C_tenn_11539_KS_B","11539_c2",1
"C_tenu_6827_UT","PGI","C_tenu_6827_UT_A","6827_c2",1
"C_tenu_6827_UT","PGI","C_tenu_6827_UT_B","6827_c1",1
"C_uta_8232_NM","PGI","C_uta_8232_NM_A","8232_c1",1
"C_uta_8232_NM","PGI","C_uta_8232_NM_B","8232_c2",1
"G_aok_7984_Jpn","PGI","G_aok_7984_Jpn_A","7984_c1",1
"G_aok_7984_Jpn","PGI","G_aok_7984_Jpn_B","7984_c2",1
"G_con_6979_Can","PGI","G_con_6979_Can_A","6979_c2",1
"G_con_6979_Can","PGI","G_con_6979_Can_B","6979_c1",1
"G_dry_16589_Can","PGI","G_dry_16589_Can_A","16589_c1",1
"G_dry_16589_Can","PGI","G_dry_16589_Can_B","16589_c2",1
"G_jes_12476_Chn","PGI","G_jes_12476_Chn_A","12476_c2",1
"G_jes_12476_Chn","PGI","G_jes_12476_Chn_B","12476_c1",1
"G_rob_8117_Aut","PGI","G_rob_8117_Aut_A","8117_c1",1
"G_rob_8117_Aut","PGI","G_rob_8117_Aut_B","8117_c2",1
"G_rob_8978_MN","PGI","G_rob_8978_MN_A","8978_c2",1
"G_rob_8978_MN","PGI","G_rob_8978_MN_B","8978_c1",1
"A_tai_11685_Mys","TRNGR","A_tai_11685_Mys_A","11685_c1",1
"A_ten_10529_Chn","TRNGR","A_ten_10529_Chn_A","10529_c1",1
"A_ten_11702_Mys","TRNGR","A_ten_11702_Mys_B","11702_c1",1
"C_deq_12509_Chn","TRNGR","C_deq_12509_Chn_A2","12509_c1",0.550113272400594
"C_dic_10804_Rus","TRNGR","C_dic_10804_Rus_A","10804_c1",1
"C_form_13989_Chl","TRNGR","C_form_13989_Chl_A","13989_c1",1
"C_fra_16804_Chn","TRNGR","C_fra_16804_Chn_B1","16804_c1",0.498320443715335
"C_fra_5846_CO","TRNGR","C_fra_5846_CO_C","5846_c1",1
"C_fra_6980_Can","TRNGR","C_fra_6980_Can_A","6980_c1",1
"C_fra_7011_Icld","TRNGR","C_fra_7011_Icld_A","7011_c1",1
"C_fra_7112_Mex","TRNGR","C_fra_7112_Mex_A","7112_c1",1
"C_fra_7625_Tai","TRNGR","C_fra_7625_Tai_A","7625_c1",0.930786657292399
"C_sud_10801_Rus","TRNGR","C_sud_10801_Rus_B","10801_c1",1
"C_tas_6379_Nzl","TRNGR","C_tas_6379_Nzl_A1","6379_c1",0.58573548941489
"C_ten_16972_MN","TRNGR","C_ten_16972_MN_A","16972_c1",1
"C_tenn_11539_KS","TRNGR","C_tenn_11539_KS_B","11539_c1",1
"C_tenu_6827_UT","TRNGR","C_tenu_6827_UT_A","6827_c1",1
"C_uta_8232_NM","TRNGR","C_uta_8232_NM_A","8232_c1",1
"G_aok_7984_Jpn","TRNGR","G_aok_7984_Jpn_B","7984_c1",1
"G_con_6979_Can","TRNGR","G_con_6979_Can_A","6979_c1",1
"G_dry_16589_Can","TRNGR","G_dry_16589_Can_B","16589_c1",1
"G_jes_12476_Chn","TRNGR","G_jes_12476_Chn_A","12476_c1",1
"G_rob_8117_Aut","TRNGR","G_rob_8117_Aut_A","8117_c1",1
"G_rob_8978_MN","TRNGR","G_rob_8978_MN_B","8978_c1",1
